DOI,Model Name,Model Type,Pearson R,RMSE,Date 
https://doi.org/10.1002/minf.201400132,RFScore-v3,Tree,0.8,1.39,12/02/2015
https://doi.org/10.1093/bioinformatics/bty757,PLEC-NN,NN,0.82,,09/09/2018
https://doi.org/10.1021/acs.jcim.7b00650?urlappend=%3Fref%3DPDF&jav=VoR&rel=cite-as,KDeep,3D-CNN,0.82,1.27,08/01/2018
https://doi.org/10.1093/bioinformatics/bty374,Pafnucy,3D-CNN,0.78,1.42,10/05/2018
https://doi.org/10.1371/journal.pcbi.1005929,TNet-BP,CNN,0.81,1.34,08/01/2018
https://doi.org/10.1371/journal.pcbi.1005929,TopBP,Tree/CNN,0.861,,8/1/2018
https://doi.org/10.1021/acs.jcim.9b00334?urlappend=%3Fref%3DPDF&jav=VoR&rel=cite-as,AGL-Score,Tree,0.833,1.271,18/06/2019
https://doi.org/10.1021/acs.jcim.9b00645,DeltaVinaXGB,Tree,0.796,,25/11/2019
https://doi.org/10.1515/cmb-2019-0009,CBSF,NN,0.74,,4/12/2019
https://doi.org/10.3389/fphar.2020.00069,ACNN,3D-CNN,0.854,,25/02/2020
https://doi.org/10.3390/ijms21228424,AK-Score,3D-CNN,0.812,,10/11/2020
https://doi.org/10.1021/acsomega.9b04162,graphDelta,GNN,0.87,,09/03/2020
https://doi.org/10.1021/acs.jcim.0c00026?urlappend=%3Fref%3DPDF&jav=VoR&rel=cite-as,PairFunctionNN,NN,0.78,1.45,27/04/2020
https://doi.org/10.1007/s10822-020-00305-1,Bappl+,Tree,0.758,,17/03/2020
http://dx.doi.org/10.3390/ijms21249548,DockingAppRF,Tree,0.82,,15/12/2020
https://doi.org/10.1093/bioinformatics/btaa982,ECIF:GBT,Tree,0.866,1.169,07/12/2020
https://doi.org/10.1021/acs.jcim.0c01306,FAST,3D-CNN/GNN,0.81,1.308,23/03/2021
https://doi.org/10.1126/sciadv.abc5329,PSH-ML,Tree,0.84,,07/05/2021
https://doi.org/10.1021/acs.jmedchem.1c01830,InteractionGraphNet,GNN,0.837,1.22,08/12/2021
https://doi.org/10.1145/3447548.3467311,SIGN,GNN,0.797,1.136,01/08/2021
https://doi.org/10.1093/bib/bbab136,FPRC-GBT,Tree,0.834,,3/5/2021
https://doi.org/10.3389/fchem.2021.753002,OnionNet-2,CNN,0.864,,27/10/2021
https://doi.org/10.1186/s12859-021-04466-0,BAPA,Transformer,0.819,1.308,08/11/2021
https://doi.org/10.1021/acs.jcim.0c01415,OPRC-GBT,Tree,0.838,,16/03/2021
https://doi.org/10.1093/bib/bbaa411,HWPC-GBT,Tree,0.831,,1/9/2021
https://doi.org/10.1126/sciadv.abc5329,PSH-ML,Tree,0.84,,07/05/2021
https://doi.org/10.1039/D1SC06946B,PIGNet,GNN,0.761,,06/02/2022
https://doi.org/10.1021/acs.jcim.2c00485,DeltaLin_F9XGB,Tree,0.845,,17/05/2021
https://doi.org/10.1093/bib/bbab474,PointTransformer,Tree/Transformer,0.852,,25/11/2021
https://doi.org/10.1371/journal.pcbi.1009943,DCML,Tree,0.843,1.255,06/04/2022
https://doi.org/10.1093/bib/bbab527,Mol-PSI,CNN,0.844,1.278,14/11/2021
https://doi.org/10.1186/s12859-022-04762-3,SFCNN,3D-CNN,0.793,,08/06/2022
https://doi.org/10.1021/acs.jcim.2c00916,ECIF::HM-LB,Tree,0.847,,09/09/2022
https://doi.org/10.1021/acsomega.2c01723,XLPFE,Tree,0.816,,13/06/2022
https://doi.org/10.1021/acs.jcim.2c00697,EISA,Tree,0.821,,15/09/2022
https://doi-org.ezproxy-prd.bodleian.ox.ac.uk/10.1002/jcc.26840,PharmRF,Tree,0.591,,05/05/2022
https://doi.org/10.1021/acs.jpclett.2c03906,GIGN,GNN,0.84,1.19,16/02/2023
https://doi.org/10.1021/acs.jcim.3c00251,HAC-Net,3D-CNN/GNN,0.846,1.205,29/03/2023
https://doi.org/10.1021/acs.jcim.3c00253,PLANET,GNN,0.824,1.247,15/06/2023
https://doi.org/10.1093/bioinformatics/btad340,GraphScoreDTA,GNN,0.831,1.249,24/05/2023
https://doi.org/10.1093/bib/bbad145,KIDA,GNN,0.791,"1,346",25/04/2023
https://doi.org/10.1021/acs.jcim.3c00322,PointVS,GNN,0.805,,11/05/2023
https://doi.org/10.1021/acsomega.3c00085,SS-GNN,GNN,0.853,,15/06/2023
https://doi.org/10.1021/acs.jcim.2c01251,PPS-ML,Tree,0.843,,16/01/2023
https://doi.org/10.1093/bib/bbac603,EGNA,GNN,0.842,1.258,10/01/2023
https://doi-org.ezproxy-prd.bodleian.ox.ac.uk/10.1109/TNB.2023.3274640,ViTScore,Transformer,0.789,1.601,01/10/2023
https://doi.org/10.1093/bib/bbad462,GAABind,Transformer,0.803,1.298,01/01/2024
